PG.ProteinLabel	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Completeness	[1] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_A1_983t_S3-C7_1_5750.d.PG.Quantity	[2] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_B1_981s_S3-A8_1_5727.d.PG.Quantity	[3] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_C1_975s_S3-C11_1_5754.d.PG.Quantity	[4] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_D1_1s_S3-B2_1_5733.d.PG.Quantity	[5] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_E1_5t_S3-D7_1_5762.d.PG.Quantity	[6] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_F1_949t_S3-D1_1_5756.d.PG.Quantity	[7] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_G1_9t_S3-B4_1_5735.d.PG.Quantity	[8] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_H1_977t_S3-B12_1_5743.d.PG.Quantity	[9] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_I1_995s_S3-B7_1_5738.d.PG.Quantity	[10] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_J1_7s_S3-C5_1_5748.d.PG.Quantity	[11] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_K1_997t_S3-A4_1_5723.d.PG.Quantity	[12] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_L1_941t_S3-C3_1_5746.d.PG.Quantity	[13] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_M1_943s_S3-A3_1_5722.d.PG.Quantity	[14] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_N1_965t_S3-A10_1_5729.d.PG.Quantity	[15] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_O1_955s_S3-D6_1_5761.d.PG.Quantity
KAPCA_MOUSE	P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha	100	34.831478118896484	48.40108871459961	61.94634246826172	53.14125442504883	12.378340721130371	30.324708938598633	77.84357452392578	38.12376403808594	52.24367904663086	28.76278305053711	70.66094970703125	28.200315475463867	84.61595916748047	46.748538970947266	90.00155639648438
AATC_MOUSE	P05201	Got1	Aspartate aminotransferase, cytoplasmic	100	358.43292236328125	387.81524658203125	440.9005432128906	292.1326904296875	327.53240966796875	380.6535339355469	385.40557861328125	271.9822692871094	429.522216796875	404.23046875	307.18804931640625	437.2354431152344	329.29522705078125	341.81982421875	441.4032897949219
AATM_MOUSE	P05202	Got2	Aspartate aminotransferase, mitochondrial	100	702.578857421875	835.2599487304688	849.1803588867188	779.4937744140625	534.316650390625	923.0897827148438	638.963623046875	918.7188720703125	841.2720336914062	761.47607421875	826.6240844726562	598.243896484375	503.49188232421875	683.480712890625	783.9828491210938
TBA1B_MOUSE	P05213	Tuba1b	Tubulin alpha-1B chain	100	10946.4091796875	19061.73828125	21445.22265625	16492.798828125	8848.544921875	15025.0185546875	16166.9384765625	11806.3740234375	12639.44921875	13627.3623046875	16190.9140625	8423.4609375	18959.0546875	15294.185546875	11302.0224609375
TBA3_MOUSE	P05214	Tuba3a	Tubulin alpha-3 chain	100	543.4298706054688	2842.425048828125	950.3851318359375	3450.158447265625	717.6920776367188	1031.5517578125	3411.6337890625	559.4992065429688	489.83770751953125	841.3762817382812	3189.34521484375	448.15228271484375	1590.60693359375	3023.1572265625	1040.07177734375
SRC_MOUSE	P05480	Src	Proto-oncogene tyrosine-protein kinase Src	80	26.882122039794922	28.705429077148438	24.32239532470703	16.03742027282715	NaN	10.921234130859375	10.163003921508789	11.388426780700684	12.1534423828125	17.01443099975586	19.022686004638672	NaN	30.95161247253418	13.885184288024902	NaN
KIT_MOUSE	P05532	Kit	Mast/stem cell growth factor receptor Kit	86.7	26.499767303466797	59.97858810424805	15.996024131774902	36.64065933227539	107.58797454833984	64.44680786132812	49.62236022949219	40.03156280517578	57.76964569091797	35.84482192993164	50.97267150878906	34.477508544921875	NaN	36.685279846191406	NaN
ITAM_MOUSE	P05555	Itgam	Integrin alpha-M	73.3	22.08223533630371	20.651296615600586	13.430715560913086	16.76544952392578	NaN	11.069049835205078	11.269447326660156	15.582697868347168	NaN	9.886999130249023	13.359573364257812	15.351508140563965	NaN	8.53177547454834	NaN
JUN_MOUSE	P05627	Jun	Transcription factor Jun	6.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.44010543823242	NaN	NaN
MYL1_MOUSE	P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform	100	103.62464141845703	603.5091552734375	109.1631851196289	585.3600463867188	427.7534484863281	215.0509033203125	1236.1280517578125	83.89154052734375	222.10791015625	137.8633270263672	854.7064208984375	71.88758087158203	587.026123046875	632.2023315429688	37736.12109375
LDHA_MOUSE	P06151	Ldha	L-lactate dehydrogenase A chain	100	440.3717346191406	586.9452514648438	476.5357360839844	365.3012390136719	645.1427001953125	524.9794311523438	598.6959228515625	330.8773193359375	443.0951843261719	431.2451477050781	510.3270263671875	332.48992919921875	486.1824645996094	502.2337951660156	1540.6348876953125
GCR_MOUSE	P06537	Nr3c1	Glucocorticoid receptor	93.3	45.43904113769531	56.26309585571289	39.25077438354492	40.737586975097656	NaN	31.363279342651367	49.85322189331055	33.38007354736328	23.176692962646484	33.93794631958008	47.34453201293945	33.60264205932617	54.069252014160156	50.54981994628906	55.69655227661133
APOA4_MOUSE	P06728	Apoa4	Apolipoprotein A-IV	93.3	28.333131790161133	35.83335494995117	13.882951736450195	22.69387435913086	NaN	34.34794998168945	17.708560943603516	18.65583038330078	63.00438690185547	20.778717041015625	38.95601272583008	27.20524787902832	34.978031158447266	27.7524356842041	128.26593017578125
G6PI_MOUSE	P06745	Gpi	Glucose-6-phosphate isomerase	100	473.0928649902344	492.48455810546875	529.3287353515625	383.54180908203125	412.26312255859375	627.7256469726562	358.31988525390625	612.58740234375	528.91748046875	508.9825744628906	406.68072509765625	392.1781921386719	292.8481750488281	406.05657958984375	502.1024475097656
MDR1B_MOUSE;MDR1A_MOUSE	P06795;P21447	Abcb1b;Abcb1a	ATP-dependent translocase ABCB1	86.7	15.698854446411133	24.489900588989258	12.661134719848633	21.021930694580078	NaN	21.355911254882812	27.58599281311035	15.17678451538086	16.586990356445312	20.24799919128418	15.843884468078613	17.271886825561523	19.25299072265625	8.940404891967773	NaN
CATL1_MOUSE	P06797	Ctsl	Procathepsin L	100	56.937355041503906	44.35448455810547	83.59101104736328	60.98383331298828	78.67765808105469	142.3616485595703	34.892696380615234	110.66268157958984	82.14330291748047	93.2280044555664	80.48001098632812	80.5001220703125	51.202388763427734	57.057003021240234	142.2076873779297
MAOX_MOUSE	P06801	Me1	NADP-dependent malic enzyme	100	59.607173919677734	66.41690063476562	59.881961822509766	59.799076080322266	97.63101196289062	63.8100700378418	56.08048629760742	44.64830017089844	61.43989562988281	45.393287658691406	59.86198806762695	54.59353256225586	96.7813720703125	46.25718688964844	120.15348815917969
NEUM_MOUSE	P06837	Gap43	Neuromodulin	100	27.512073516845703	60.812522888183594	35.08847427368164	38.14027404785156	104.9643783569336	27.93543815612793	32.959693908691406	14.099604606628418	65.33442687988281	29.094898223876953	40.15894317626953	29.36760902404785	35.2121696472168	25.989988327026367	46.86538314819336
SPRC_MOUSE	P07214	Sparc	SPARC	86.7	80.74705505371094	77.63658142089844	56.94932556152344	56.08435821533203	NaN	131.85804748535156	77.1767807006836	98.43157958984375	111.93119049072266	90.89046478271484	62.78582000732422	106.30675506591797	NaN	92.60629272460938	103.36591339111328
TTHY_MOUSE	P07309	Ttr	Transthyretin	100	22.848020553588867	50.95418167114258	34.63608932495117	40.07502746582031	48.51662063598633	65.20453643798828	46.48142623901367	42.26161575317383	70.86046600341797	46.3045539855957	52.55731201171875	80.7745361328125	45.06005859375	33.40443420410156	71.72693634033203
KCRM_MOUSE	P07310	Ckm	Creatine kinase M-type	100	108.46114349365234	322.9928283691406	112.40052032470703	355.3341369628906	370.24664306640625	191.70834350585938	409.6808776855469	66.87614440917969	219.12588500976562	105.15425109863281	613.9458618164062	88.00031280517578	333.73388671875	323.7200927734375	4261.86669921875
ANXA2_MOUSE	P07356	Anxa2	Annexin A2	100	275.9664306640625	321.7652282714844	249.455810546875	190.24539184570312	672.4312744140625	222.87950134277344	230.56271362304688	175.940673828125	255.2283172607422	229.1142578125	449.53167724609375	385.8702392578125	2076.69189453125	114.21235656738281	516.4744873046875
ALBU_MOUSE	P07724	Alb	Albumin	100	471.74859619140625	471.6244812011719	503.9690246582031	598.8277587890625	421.9351806640625	699.70947265625	429.57696533203125	587.9325561523438	933.5659790039062	585.5191650390625	501.2265319824219	695.6882934570312	412.99005126953125	365.70892333984375	1072.8284912109375
RIR1_MOUSE	P07742	Rrm1	Ribonucleoside-diphosphate reductase large subunit	20	NaN	NaN	12.246671676635742	NaN	NaN	NaN	21.798606872558594	NaN	NaN	NaN	NaN	NaN	124.03985595703125	NaN	NaN
K2C4_MOUSE	P07744	Krt4	Keratin, type II cytoskeletal 4	100	27.107913970947266	48.52384567260742	30.925554275512695	50.46381378173828	62.512760162353516	21.381818771362305	85.98782348632812	126.27011108398438	59.35637664794922	73.00939178466797	115.66244506835938	194.53387451171875	188.29443359375	36.511165618896484	87.84610748291016
A1AT1_MOUSE;A1AT3_MOUSE	P07758;Q00896	Serpina1a;Serpina1c	Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3	100	42.370445251464844	29.7641658782959	47.073692321777344	36.788841247558594	44.93138122558594	36.250282287597656	36.73749923706055	31.877429962158203	52.3515625	38.62477493286133	42.714866638183594	28.196304321289062	52.52217483520508	31.61243438720703	163.7174072265625
SPA3K_MOUSE	P07759	Serpina3k	Serine protease inhibitor A3K	100	30.722806930541992	29.976665496826172	37.491546630859375	32.888885498046875	25.612144470214844	43.76388168334961	32.08717346191406	29.95652961730957	38.68085479736328	46.924320220947266	41.78066635131836	32.18013000488281	66.03376007080078	31.100601196289062	332.8669128417969
HS90A_MOUSE	P07901	Hsp90aa1	Heat shock protein HSP 90-alpha	100	1142.7572021484375	1221.875	1046.88916015625	1121.6322021484375	1427.58935546875	1476.0045166015625	981.378173828125	1411.1148681640625	1234.7611083984375	1064.2255859375	1123.658447265625	979.977294921875	1549.255859375	1214.2789306640625	1147.2730712890625
PHKG1_MOUSE	P07934	Phkg1	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	73.3	10.211623191833496	14.656537055969238	10.707862854003906	9.228729248046875	NaN	13.671348571777344	NaN	8.389927864074707	15.364289283752441	16.632129669189453	14.636846542358398	NaN	NaN	13.965368270874023	149.48097229003906
PDIA4_MOUSE	P08003	Pdia4	Protein disulfide-isomerase A4	100	112.15282440185547	119.39493560791016	90.0227279663086	115.61871337890625	166.1272735595703	150.27003479003906	97.92681121826172	99.27041625976562	147.94619750976562	120.96769714355469	117.41575622558594	116.04134368896484	168.434814453125	105.35355377197266	146.94943237304688
APT_MOUSE	P08030	Aprt	Adenine phosphoribosyltransferase	40	14.110518455505371	NaN	5.07236385345459	NaN	NaN	NaN	25.172338485717773	NaN	NaN	7.682977676391602	NaN	NaN	648.0275268554688	11.586524963378906	NaN
TRFL_MOUSE	P08071	Ltf	Lactotransferrin	86.7	43.11662673950195	38.92144012451172	43.85954666137695	10.079113960266113	261.0391845703125	99.49883270263672	21.42511749267578	NaN	60.68159484863281	116.10543823242188	10.314618110656738	47.398983001708984	NaN	8.206727027893066	205.6582794189453
ENPL_MOUSE	P08113	Hsp90b1	Endoplasmin	100	1228.3944091796875	1093.361328125	1162.6292724609375	1082.548095703125	1446.9793701171875	1742.549072265625	1250.610595703125	1712.4693603515625	1630.44580078125	1436.1820068359375	1283.5009765625	1259.4556884765625	1588.7359619140625	1349.6075439453125	1492.1820068359375
CO4A2_MOUSE	P08122	Col4a2	Collagen alpha-2(IV) chain	100	96.07352447509766	66.888916015625	52.360069274902344	129.37252807617188	129.691650390625	54.396324157714844	85.6964340209961	68.684814453125	70.52520751953125	47.978939056396484	86.75526428222656	77.03889465332031	62.198341369628906	44.28789138793945	161.75302124023438
S10AA_MOUSE	P08207	S100a10	Protein S100-A10	100	184.01617431640625	162.50640869140625	262.5878601074219	83.00141143798828	464.3141174316406	97.87965393066406	151.50869750976562	289.78460693359375	182.21885681152344	159.60633850097656	141.27415466308594	654.5105590820312	519.7433471679688	57.49782943725586	308.96038818359375
APOE_MOUSE	P08226	Apoe	Apolipoprotein E	100	217.47943115234375	295.7768859863281	202.5269317626953	320.7118225097656	152.3134765625	283.81292724609375	274.1319274902344	209.0762481689453	263.76434326171875	186.72921752929688	252.944091796875	198.083251953125	207.4897918701172	200.53245544433594	273.6870422363281
SODC_MOUSE	P08228	Sod1	Superoxide dismutase [Cu-Zn]	100	322.2270202636719	325.65594482421875	298.8104553222656	260.69024658203125	307.4692687988281	544.4857177734375	366.02490234375	308.4365234375	506.25048828125	453.04559326171875	218.39356994628906	497.92730712890625	175.81689453125	228.1464080810547	597.8820190429688
MDHM_MOUSE	P08249	Mdh2	Malate dehydrogenase, mitochondrial	100	1872.72607421875	2550.098876953125	2685.246826171875	2030.6116943359375	1772.5567626953125	2790.40478515625	2644.4892578125	1900.6656494140625	2522.70361328125	2817.32373046875	1640.287109375	3402.423828125	1606.910888671875	2688.185302734375	4346.6884765625
KCC4_MOUSE	P08414	Camk4	Calcium/calmodulin-dependent protein kinase type IV	100	26.782737731933594	37.0869026184082	35.616519927978516	45.08045196533203	32.257633209228516	44.06151580810547	31.231048583984375	53.678070068359375	55.61231994628906	38.45527648925781	51.876548767089844	27.439632415771484	27.264047622680664	32.13201141357422	35.10662078857422
NFL_MOUSE	P08551	Nefl	Neurofilament light polypeptide	100	245.88693237304688	262.6883544921875	364.3492736816406	383.5853576660156	211.90440368652344	351.6370849609375	235.4079132080078	342.7072448730469	388.2663879394531	307.17578125	317.9948425292969	213.86660766601562	208.4523162841797	230.5625	227.7731170654297
NFM_MOUSE	P08553	Nefm	Neurofilament medium polypeptide	100	81.48504638671875	86.91105651855469	147.21170043945312	124.6942367553711	89.19783020019531	157.87318420410156	74.14877319335938	149.0293426513672	147.75167846679688	109.8688735961914	113.00439453125	61.6903076171875	74.06694030761719	69.5289535522461	119.56298065185547
RASN_MOUSE	P08556	Nras	GTPase NRas	86.7	34.38433074951172	70.64300537109375	27.583511352539062	53.83856964111328	NaN	18.222213745117188	50.0042839050293	26.691789627075195	41.11233901977539	28.619579315185547	47.603553771972656	22.01006507873535	94.81590270996094	48.61697769165039	NaN
K1C13_MOUSE	P08730	Krt13	Keratin, type I cytoskeletal 13	100	6145.93359375	4166.599609375	2781.934326171875	4397.48046875	13417.4091796875	5940.0419921875	2601.37744140625	5802.1748046875	6961.73828125	6923.9765625	11999.3916015625	12829.974609375	10472.564453125	3216.597412109375	10618.978515625
GNAI2_MOUSE	P08752	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2	100	601.06103515625	662.7742309570312	457.9691467285156	673.745849609375	449.3158874511719	512.901611328125	599.6261596679688	420.4101867675781	545.7844848632812	421.3172912597656	537.7799072265625	403.3526611328125	369.8134460449219	350.63787841796875	504.5561218261719
RPB1_MOUSE	P08775	Polr2a	DNA-directed RNA polymerase II subunit RPB1	100	82.93882751464844	66.69911193847656	57.105003356933594	68.16705322265625	150.5469207763672	73.243896484375	78.16671752929688	72.3103256225586	76.72030639648438	87.02396392822266	78.73757934570312	77.5613021850586	96.40089416503906	60.72340774536133	96.05498504638672
ITB1_MOUSE	P09055	Itgb1	Integrin beta-1	100	82.00978088378906	68.67241668701172	60.316368103027344	82.6601791381836	76.56509399414062	90.88121795654297	70.57817077636719	89.28187561035156	131.8092803955078	72.49793243408203	88.2863998413086	110.67820739746094	81.8682632446289	66.35662841796875	81.76050567626953
PDIA1_MOUSE	P09103	P4hb	Protein disulfide-isomerase	100	395.44989013671875	283.7022705078125	309.9957275390625	260.0550537109375	457.10528564453125	425.2184143066406	406.0008239746094	365.9632873535156	453.0079345703125	339.0354919433594	321.85797119140625	403.63092041015625	2543.3984375	305.7054443359375	641.8573608398438
CCKN_MOUSE	P09240	Cck	Cholecystokinin	93.3	71.91909790039062	37.298683166503906	81.39297485351562	94.41670227050781	NaN	145.9866485595703	107.78363037109375	80.88709259033203	112.62908935546875	75.1125717163086	64.52527618408203	134.2554473876953	45.60343551635742	91.06748962402344	119.14958953857422
PPBT_MOUSE	P09242	Alpl	Alkaline phosphatase, tissue-nonspecific isozyme	86.7	23.813953399658203	NaN	22.459951400756836	10.857879638671875	NaN	20.005382537841797	13.293469429016113	14.923755645751953	18.43962287902832	20.991186141967773	7.28007698059082	36.82794952392578	15.86565113067627	9.049949645996094	25.58094024658203
NUCL_MOUSE	P09405	Ncl	Nucleolin	100	2060.333251953125	2070.396240234375	2011.033935546875	1849.072509765625	3430.12646484375	3035.75146484375	2271.4482421875	2247.3916015625	2821.158447265625	2632.500244140625	1600.6375732421875	2973.3193359375	1612.6287841796875	2448.658447265625	3136.546875
PGK1_MOUSE	P09411	Pgk1	Phosphoglycerate kinase 1	100	393.74658203125	423.4764404296875	366.8621520996094	313.1923522949219	484.984130859375	367.8526916503906	406.66290283203125	222.93109130859375	326.98101806640625	376.4301452636719	381.675048828125	266.2963562011719	1035.1370849609375	287.8781433105469	488.2184143066406
FRIH_MOUSE	P09528	Fth1	Ferritin heavy chain	100	280.4046936035156	269.5263977050781	344.47784423828125	242.45016479492188	387.7981872558594	406.8103332519531	290.8055725097656	265.3692626953125	275.76690673828125	274.4823303222656	156.76177978515625	339.76947021484375	143.87037658691406	222.89158630371094	424.51849365234375
MYL3_MOUSE	P09542	Myl3	Myosin light chain 3	100	294.0597839355469	2198.9814453125	295.5877380371094	1953.1842041015625	1184.4305419921875	275.8713684082031	3790.212158203125	96.85295867919922	195.62240600585938	250.6656036376953	3169.865478515625	218.2314453125	1962.671875	2733.00634765625	55344.03515625
CSF1R_MOUSE	P09581	Csf1r	Macrophage colony-stimulating factor 1 receptor	86.7	17.04678726196289	6.90361213684082	11.627821922302246	16.075424194335938	NaN	6.482135772705078	NaN	8.388630867004395	15.281603813171387	9.617080688476562	6.5207109451293945	14.26017951965332	14.617569923400879	4.927605152130127	25.261329650878906
HMGN2_MOUSE	P09602	Hmgn2	Non-histone chromosomal protein HMG-17	100	69.80573272705078	51.47773742675781	69.87358856201172	39.27089309692383	126.90205383300781	31.27585220336914	35.971534729003906	28.10956382751465	30.695995330810547	23.152360916137695	30.549440383911133	45.14336395263672	28.252138137817383	16.24236297607422	89.15341186523438
SODM_MOUSE	P09671	Sod2	Superoxide dismutase [Mn], mitochondrial	100	209.31692504882812	281.7344055175781	339.07952880859375	210.8665771484375	226.98782348632812	359.79766845703125	224.5278778076172	214.5021514892578	290.8820495605469	315.095703125	183.09950256347656	257.1183776855469	211.56964111328125	253.2742156982422	398.6663818359375
APOA2_MOUSE	P09813	Apoa2	Apolipoprotein A-II	93.3	13.456588745117188	25.84010887145996	31.194421768188477	21.175113677978516	NaN	64.45932006835938	41.10665512084961	24.902875900268555	16.047344207763672	29.01494789123535	20.743751525878906	56.82914733886719	32.16276550292969	28.547712326049805	95.04226684570312
SURF1_MOUSE	P09925	Surf1	Surfeit locus protein 1	80	6.657001972198486	10.808914184570312	3.650151014328003	13.457157135009766	NaN	7.875614166259766	15.64296817779541	3.6774137020111084	NaN	2.503708600997925	13.110260963439941	3.2203681468963623	NaN	6.511518955230713	40.287532806396484
NUD10_MOUSE;NUD11_MOUSE	P0C027;P0C028	Nudt10;Nudt11	Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 3-beta	93.3	37.36249542236328	46.892330169677734	36.6764030456543	31.974119186401367	30.66352081298828	42.24687194824219	41.11263656616211	30.803125381469727	33.783199310302734	48.238182067871094	21.007728576660156	31.711252212524414	NaN	51.35821533203125	64.99154663085938
RC3H2_MOUSE	P0C090	Rc3h2	Roquin-2	100	16.373794555664062	17.253541946411133	17.160961151123047	33.86906814575195	38.721336364746094	27.898656845092773	26.649240493774414	27.002662658691406	37.63349151611328	25.477094650268555	27.02249526977539	18.94646644592285	23.003013610839844	21.919321060180664	120.91112518310547
CHMP6_MOUSE	P0C0A3	Chmp6	Charged multivesicular body protein 6	53.3	24.47101402282715	21.973133087158203	13.09053897857666	21.107078552246094	NaN	NaN	NaN	NaN	40.41133117675781	20.506418228149414	NaN	17.436141967773438	40.160621643066406	NaN	NaN
H2AZ_MOUSE;H2AV_MOUSE	P0C0S6;Q3THW5	H2az1;H2az2	Histone H2A.Z;Histone H2A.V	100	593.726806640625	439.4845886230469	543.30224609375	505.0025329589844	981.1358032226562	567.0241088867188	601.087646484375	354.842529296875	505.9715576171875	773.486572265625	393.6112365722656	470.77923583984375	614.9612426757812	492.42755126953125	578.6959228515625
LRC4B_MOUSE	P0C192	Lrrc4b	Leucine-rich repeat-containing protein 4B	86.7	14.376036643981934	21.026687622070312	15.729228019714355	15.003741264343262	NaN	11.733349800109863	14.771979331970215	13.537439346313477	18.938941955566406	13.101042747497559	15.738836288452148	19.18854331970215	18.744281768798828	15.792778968811035	NaN
WIPF3_MOUSE	P0C7L0	Wipf3	WAS/WASL-interacting protein family member 3	86.7	25.15073585510254	17.056785583496094	55.91130065917969	26.92214012145996	NaN	35.93541717529297	32.748329162597656	25.74781608581543	65.74063873291016	53.498111724853516	36.822959899902344	35.95944595336914	19.88043212890625	22.445646286010742	NaN
CLC2L_MOUSE	P0C7M9	Clec2l	C-type lectin domain family 2 member L	86.7	38.42222595214844	54.034278869628906	29.0841007232666	19.710420608520508	NaN	21.452655792236328	29.813493728637695	26.97213363647461	15.20659065246582	27.793659210205078	45.131103515625	50.44376754760742	42.76308059692383	28.286041259765625	NaN
NDUB1_MOUSE	P0DN34	Ndufb1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	100	463.1676025390625	777.4236450195312	447.3148498535156	803.1146850585938	436.5138854980469	1027.9669189453125	1016.9174194335938	697.2171630859375	849.34814453125	831.1737670898438	722.0010986328125	556.8482055664062	615.7476196289062	952.9998779296875	844.8358154296875
CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE	P0DP26;P0DP27;P0DP28	Calm1;Calm2;Calm3	Calmodulin-1;Calmodulin-2;Calmodulin-3	100	10004.078125	6619.68115234375	12377.1298828125	9812.853515625	12169.8486328125	10598.7548828125	13097.962890625	12264.607421875	7225.61572265625	11081.28125	9586.390625	12325.955078125	8429.8203125	12632.0302734375	17748.34765625
ANXA1_MOUSE	P10107	Anxa1	Annexin A1	100	15.463176727294922	24.084596633911133	42.523780822753906	12.872283935546875	57.861690521240234	26.638141632080078	119.06755828857422	124.47696685791016	109.65165710449219	96.7526626586914	104.79389190673828	330.811279296875	531.785888671875	12.33414077758789	67.72232055664062
EF1A1_MOUSE	P10126	Eef1a1	Elongation factor 1-alpha 1	100	576.8594970703125	691.7635498046875	548.6764526367188	787.7792358398438	827.711181640625	675.2451782226562	868.3572387695312	518.6949462890625	675.1422729492188	677.7733764648438	854.68896484375	569.98388671875	1433.42138671875	880.6829223632812	552.6296997070312
CADH3_MOUSE	P10287	Cdh3	Cadherin-3	6.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.94966125488281	NaN	NaN
NID1_MOUSE	P10493	Nid1	Nidogen-1	100	62.60563278198242	62.954017639160156	53.14378356933594	58.67927932739258	49.06759262084961	37.2705192565918	71.2623062133789	46.48847198486328	86.80067443847656	47.34284973144531	66.64933013916016	71.55990600585938	80.44982147216797	53.93541717529297	133.4144287109375
HEM2_MOUSE	P10518	Alad	Delta-aminolevulinic acid dehydratase	100	93.9210433959961	99.26573181152344	100.4344253540039	67.79141235351562	162.56642150878906	94.53068542480469	55.50893783569336	55.09077835083008	88.9332275390625	92.35794067382812	94.2005615234375	116.36345672607422	127.21572875976562	67.51036834716797	47.605587005615234
CATB_MOUSE	P10605	Ctsb	Cathepsin B	100	266.4343566894531	285.328125	314.67791748046875	221.28305053710938	318.4088134765625	371.9671936035156	294.01116943359375	255.6704559326172	266.75445556640625	391.4318542480469	239.75579833984375	367.232666015625	242.82862854003906	343.9876708984375	519.6404418945312
IF4A2_MOUSE	P10630	Eif4a2	Eukaryotic initiation factor 4A-II	100	385.5290222167969	382.1324462890625	506.7525329589844	440.68182373046875	510.54150390625	638.4168701171875	446.88116455078125	609.1815795898438	515.3106079101562	422.9359436035156	458.9130554199219	543.0170288085938	412.17449951171875	648.9436645507812	513.447021484375
TAU_MOUSE	P10637	Mapt	Microtubule-associated protein tau	100	82.6982192993164	46.764705657958984	88.35209655761719	51.61967468261719	39.244998931884766	65.40596771240234	62.172935485839844	34.39097595214844	73.47064208984375	63.88970947265625	50.13622283935547	42.467247009277344	54.416168212890625	40.61000061035156	79.92391204833984
THIO_MOUSE	P10639	Txn	Thioredoxin	100	302.89068603515625	358.79925537109375	364.4757995605469	222.92942810058594	1056.5283203125	634.1661987304688	379.427734375	348.4161071777344	471.4859924316406	537.2675170898438	439.7135314941406	606.50537109375	448.5500183105469	223.8411865234375	752.6112670898438
GSTM1_MOUSE	P10649	Gstm1	Glutathione S-transferase Mu 1	100	299.3367004394531	357.3830261230469	347.67578125	264.6874084472656	327.8204040527344	502.83380126953125	402.1788024902344	329.9107360839844	436.0726318359375	411.47222900390625	254.41293334960938	362.66265869140625	220.55618286132812	333.72369384765625	433.4839172363281
TCEA1_MOUSE	P10711	Tcea1	Transcription elongation factor A protein 1	100	91.51959991455078	117.67838287353516	83.4383773803711	89.92626953125	201.54165649414062	91.55235290527344	114.46228790283203	87.86077880859375	76.75917053222656	112.54630279541016	99.46697235107422	108.8246078491211	219.0459442138672	136.86868286132812	165.0499267578125
RRAS_MOUSE	P10833	Rras	Ras-related protein R-Ras	86.7	46.10929870605469	47.256160736083984	37.13159942626953	62.150596618652344	NaN	40.96307373046875	51.84018325805664	42.01137924194336	52.28170394897461	41.07131576538086	44.70673370361328	42.44505310058594	85.3922348022461	39.63578796386719	NaN
4F2_MOUSE	P10852	Slc3a2	Amino acid transporter heavy chain SLC3A2	100	686.5458984375	646.9193115234375	594.13134765625	773.3541259765625	448.8464660644531	667.3844604492188	469.9941101074219	644.2484741210938	557.3748168945312	498.72589111328125	654.1823120117188	559.03173828125	326.1369323730469	364.4049987792969	178.0409698486328
H2B1F_MOUSE;H2B1M_MOUSE;H2B1B_MOUSE;H2B1H_MOUSE;H2B2B_MOUSE;H2B1C_MOUSE;H2B1K_MOUSE;H2B1P_MOUSE	P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2	H2bc7;H2bc14;H2bc3;H2bc9;H2bc18;H2bc4;H2bc12;Hist1h2bp	Histone H2B type 1-F/J/L;Histone H2B type 1-M;Histone H2B type 1-B;Histone H2B type 1-H;Histone H2B type 2-B;Histone H2B type 1-C/E/G;Histone H2B type 1-K;Histone H2B type 1-P	100	28094.544921875	26638.55859375	21115.28515625	29202.787109375	36521.078125	28580.083984375	33119.55078125	20577.22265625	26640.91796875	32103.068359375	24243.2578125	31891.625	39806.96484375	27050.880859375	24145.740234375
